Country,State,District,Block,Year,Month,Village Name,"Number Of Households Issue Job Card Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Households Issue Job Card Others (UOM:Number), Scaling Factor:1","Total Number Of Households Issue Job Card (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Castes (Scs) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Schedule Tribes (Sts) (UOM:Number), Scaling Factor:1","Number Of Household Provided Employment To Others (UOM:Number), Scaling Factor:1","Total Number Of Household Provided Employment (UOM:Number), Scaling Factor:1","Number Of Employment Provided To Woman (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Number Of Person Days Generated Others (UOM:Number), Scaling Factor:1","Total Number Of Person Days Generated (UOM:Number), Scaling Factor:1","Number Of Person Days Generated For Woman (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Caste (Scs) (UOM:Number), Scaling Factor:1","Families Completed 100days Scheduled Tribe (Sts) (UOM:Number), Scaling Factor:1","Families Completed 100days Others (UOM:Number), Scaling Factor:1","Total Families Completed 100 Days (UOM:Number), Scaling Factor:1"
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dambo watesa,0,73,2,75,0,2,0,2,2,0,60,0,60,30,0,0,0,0
India,Meghalaya,East Garo Hills,Samanda,"Financial Year (Apr - Mar), 2022","July, 2022",achak jangkegre,0,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gongdop,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gobekram,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gindil,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gaoram,0,32,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil waridipo,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil tekra apal (tekragittim gabil),0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil tamsura,0,74,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil rongmil,0,215,6,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil rongberam,0,110,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil rogu alda,0,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil patar,0,64,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil nengtek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil koksi - nengtekgittim,0,108,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil gandual,0,94,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil daningka,0,154,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil boldil,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil bisa,0,127,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",gabil ading,0,93,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dumachok,0,43,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dosikgittim,0,110,0,110,0,7,0,7,7,0,42,0,42,21,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",donbugittim,0,55,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dogepgipuram,0,41,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",doadugittim,0,50,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",diplok gittim,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dawa songgital,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",datang agal,0,39,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",darusak,0,58,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",darugre songma,0,155,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",darugre reserve,0,94,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",danal suregittim,0,70,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Dambo Rongjeng,"Financial Year (Apr - Mar), 2022","July, 2022",dambo rongdeng,0,102,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Meghalaya,East Garo Hills,Songsak,"Financial Year (Apr - Mar), 2022","July, 2022",bone megapgre,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
