District,Block,Village Name,st_jobcards,st_access_rate_lag1,st_access_rate_roll3,st_persondays_per_employed_lag1,st_100days_rate_lag1,is_low_access_lag1,is_low_access_current,risk,reasons
East Garo Hills,Dambo Rongjeng,ambare ading,67.0,0.9393939393939394,0.9246601351864511,99.30645161290323,0.8636363636363636,0,0,0.09493463,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,ambrechiko,76.0,0.881578947368421,0.8873122566599215,100.0,0.881578947368421,0,0,0.08508017,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,anchengbok,63.0,0.8382352941176471,0.8604836199712861,98.73684210526316,0.8088235294117647,0,0,0.07425002,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,anepagittim,31.0,1.0,0.9814814814814815,99.86111111111111,0.9722222222222222,0,0,0.52528983,Block pattern (raises risk) | District pattern (lowers risk) | ST access rate three years ago (raises risk)
East Garo Hills,Dambo Rongjeng,aragittim,91.0,0.9772727272727273,0.9461257325828208,74.8953488372093,0.0,0,0,0.077854946,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,asim agal,67.0,0.9104477611940298,0.9701492537313433,91.09836065573771,0.14925373134328357,0,0,0.09933524,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,askipatal,106.0,0.9622641509433962,0.7834295558935948,94.74509803921569,0.6792452830188679,0,0,0.08566226,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,awangga,73.0,0.9452054794520548,0.9446981227803146,100.0,0.9452054794520548,0,0,0.0699983,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,badilpa,33.0,0.9393939393939394,0.9797979797979798,100.0,0.9393939393939394,0,0,0.12687856,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,bamil,183.0,0.9777777777777777,0.9581857572327502,73.42613636363636,0.0,0,0,0.055779237,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,bamil bapupara,52.0,0.9552238805970149,0.9386936286310384,93.453125,0.746268656716418,0,0,0.10817343,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,baringgre wadro,71.0,0.8169014084507042,0.8519761261026408,95.91379310344827,0.07042253521126761,0,0,0.0702576,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,bekgitokgittim,72.0,0.8970588235294118,0.6545751633986928,93.95081967213115,0.058823529411764705,0,0,0.10389202,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,bolkret,117.0,1.0,0.9870550161812298,100.0,1.0,0,0,0.31287944,District pattern (lowers risk) | Block pattern (raises risk) | Workdays per employed household last year (lowers risk)
East Garo Hills,Dambo Rongjeng,bolsal ading,39.0,0.9210526315789473,0.9736842105263158,100.0,0.9210526315789473,0,0,0.10787543,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,bolsalgittim,59.0,0.9322033898305084,0.9531587057010785,96.36363636363636,0.7627118644067796,0,0,0.0843369,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chambildam,68.0,0.8970588235294118,0.9183979147214442,100.0,0.8970588235294118,0,0,0.06948692,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,cheran alda,75.0,0.9866666666666667,0.9866666666666667,91.98648648648648,0.013333333333333334,0,0,0.18935323,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | ST access rate three years ago (raises risk)
East Garo Hills,Dambo Rongjeng,cheran chikal,107.0,1.0,0.9906542056074766,94.53271028037383,0.794392523364486,0,0,0.33347878,District pattern (lowers risk) | ST access rate three years ago (raises risk) | Block pattern (raises risk)
East Garo Hills,Dambo Rongjeng,cheran songgital,42.0,0.9761904761904762,0.95954316686024,96.82926829268293,0.9047619047619048,0,0,0.12769307,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | 3-year average ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,cheran songitcham,95.0,0.9111111111111111,0.8934156378600822,84.85365853658537,0.011111111111111112,0,0,0.09229466,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chibilbang,41.0,0.8780487804878049,0.959349593495935,100.0,0.8780487804878049,0,0,0.09468355,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chichra apal,42.0,0.9473684210526315,0.6649122807017543,100.0,0.9473684210526315,0,0,0.095617115,Workdays per employed household last year (lowers risk) | District pattern (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chigisimgittim,91.0,0.9230769230769231,0.9743589743589743,96.78571428571429,0.8131868131868132,0,0,0.09810621,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chigisin,40.0,1.0,1.0,70.0,0.0,0,0,0.060966812,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chigro agal,60.0,0.9571428571428572,0.9307529072234955,100.0,0.9571428571428572,0,0,0.09391799,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chigro songgital,23.0,0.0,0.0,0.0,0.0,1,0,0.49841088,District pattern (lowers risk) | Last year's ST access rate (raises risk) | Workdays per employed household last year (raises risk)
East Garo Hills,Dambo Rongjeng,chijong,36.0,0.75,0.8333333333333334,99.85185185185185,0.7222222222222222,0,0,0.07285066,Workdays per employed household last year (lowers risk) | District pattern (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chijong gittim,58.0,0.9444444444444444,0.6481481481481481,64.43137254901961,0.16666666666666666,0,0,0.12536056,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chikal dawa,43.0,0.813953488372093,0.9014336595731945,97.4,0.7906976744186046,0,0,0.062168106,Workdays per employed household last year (lowers risk) | District pattern (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chikal pekro,68.0,0.9117647058823529,0.9598355471220748,100.0,0.9117647058823529,0,0,0.07324219,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chikal songma,70.0,0.9,0.9451612903225808,98.41269841269842,0.8571428571428571,0,0,0.090230875,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chikama,92.0,1.3333333333333333,1.0292872117400418,69.82692307692308,0.7307692307692307,0,0,0.12114216,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chiring dokru,75.0,1.2,1.0255476912706438,72.31111111111112,0.0,0,0,0.07683049,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chitil apal,97.0,0.9484536082474226,0.9791946810100104,73.03260869565217,0.061855670103092786,0,0,0.121981114,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,chramdenperam,43.0,0.0,0.0,0.0,0.0,1,0,0.49841088,District pattern (lowers risk) | Last year's ST access rate (raises risk) | Workdays per employed household last year (raises risk)
East Garo Hills,Dambo Rongjeng,dagal bolmedang,17.0,1.0,1.0,100.0,1.0,0,0,0.3990858,District pattern (lowers risk) | Block pattern (raises risk) | ST access rate three years ago (raises risk)
East Garo Hills,Dambo Rongjeng,dagal bolmong,19.0,1.0,0.9848484848484849,88.66666666666667,0.7777777777777778,0,0,0.12187797,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,dagal dogru,27.0,1.0,0.9733333333333333,98.72,0.92,0,0,0.18001293,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Block pattern (raises risk)
East Garo Hills,Dambo Rongjeng,dagal nokat,55.0,0.8846153846153846,0.9542920847268673,92.82608695652173,0.7692307692307693,0,0,0.13960634,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
East Garo Hills,Dambo Rongjeng,dagal simseng,63.0,0.9682539682539683,0.9840416453319679,96.72131147540983,0.3492063492063492,0,0,0.080081865,District pattern (lowers risk) | Workdays per employed household last year (lowers risk) | Last year's ST access rate (lowers risk)
